col,VAR
967,MBR_CNTRCT_CD_1575
968,MBR_CNTRCT_CD_1871
969,MBR_CNTRCT_CD_1920
970,MBR_CNTRCT_CD_1DCM
971,MBR_CNTRCT_CD_1DH9
972,MBR_CNTRCT_CD_1ECZ
973,MBR_CNTRCT_CD_1ED1
974,MBR_CNTRCT_CD_1FHX
975,MBR_CNTRCT_CD_1FHY
976,MBR_CNTRCT_CD_1FHZ
977,MBR_CNTRCT_CD_1FMV
978,MBR_CNTRCT_CD_1J9P
979,MBR_CNTRCT_CD_1JPJ
980,MBR_CNTRCT_CD_1JQ3
981,MBR_CNTRCT_CD_1U01
982,MBR_CNTRCT_CD_1V7G
983,MBR_CNTRCT_CD_1VBL
984,MBR_CNTRCT_CD_1WMB
985,MBR_CNTRCT_CD_20BR
986,MBR_CNTRCT_CD_28WS
987,MBR_CNTRCT_CD_2CB8
