FULL_MNGMNT_BU_CD,MBU_rollup,state_lob
J2ZZ1UZXOF04S,Unicare - Unicare,Unicare
J2ZZ1UZXOF04Y,Unicare - Unicare,Unicare
J2ZZ1UZXOF05M,Unicare - Unicare,Unicare
J2ZZ1UZXOF05N,Unicare - Unicare,Unicare
J2ZZ1UZXOF05S,Unicare - Unicare,Unicare
J2ZZ1UZXOF05Y,Unicare - Unicare,Unicare
J2ZZ1UZXOFN,Unicare - Unicare,Unicare
J2ZZ1UZXOFY,Unicare - Unicare,Unicare
J2ZZ1UZXPB01M,Unicare - Unicare,Unicare
J2ZZ1UZXPB01N,Unicare - Unicare,Unicare
J2ZZ1UZXPB01S,Unicare - Unicare,Unicare
J2ZZ1UZXPB01Y,Unicare - Unicare,Unicare
J2ZZ1UZXPB02M,Unicare - Unicare,Unicare
J2ZZ1UZXPB02N,Unicare - Unicare,Unicare
J2ZZ1UZXPB02S,Unicare - Unicare,Unicare
J2ZZ1UZXPB02Y,Unicare - Unicare,Unicare
J2ZZ1UZXPB03K,Unicare - Unicare,Unicare
J2ZZ1UZXPB03M,Unicare - Unicare,Unicare
J2ZZ1UZXPB03N,Unicare - Unicare,Unicare
J2ZZ1UZXPB03S,Unicare - Unicare,Unicare
J2ZZ1UZXPB03Y,Unicare - Unicare,Unicare
J2ZZ1UZXPB04M,Unicare - Unicare,Unicare
J2ZZ1UZXPB04N,Unicare - Unicare,Unicare
J2ZZ1UZXPB04S,Unicare - Unicare,Unicare
J2ZZ1UZXPB04Y,Unicare - Unicare,Unicare
J2ZZ1UZXPB05M,Unicare - Unicare,Unicare
KSZUSZ5XPR04M,Unicare - Unicare,Unicare
KSZUX1EX,Unicare - Unicare,Unicare
KSZUX1EXOF,Unicare - Unicare,Unicare
KSZUX1EXOF02M,Unicare - Unicare,Unicare
KSZUX1EXOF02N,Unicare - Unicare,Unicare
KSZUX1EXOF03S,Unicare - Unicare,Unicare
KSZUX1EXOF03Y,Unicare - Unicare,Unicare
KSZUX1EXOF05S,Unicare - Unicare,Unicare
KSZUX1EXOF05Y,Unicare - Unicare,Unicare
KSZUX1EXOFN,Unicare - Unicare,Unicare
KSZUX1EXOFY,Unicare - Unicare,Unicare
KSZUX1EXPR,Unicare - Unicare,Unicare
KSZUX1EXPR02M,Unicare - Unicare,Unicare
KSZUX1EXPR02N,Unicare - Unicare,Unicare
KSZUX1EXPR03S,Unicare - Unicare,Unicare
KSZUX1EXPR03Y,Unicare - Unicare,Unicare
KSZUX1EXPR05S,Unicare - Unicare,Unicare
KSZUX1EXPR05Y,Unicare - Unicare,Unicare
KSZUX1EXPRN,Unicare - Unicare,Unicare
KSZUX1EXPRY,Unicare - Unicare,Unicare
KSZUZ1EX,Unicare - Unicare,Unicare
KSZUZ1EXOF,Unicare - Unicare,Unicare
KSZUZ1EXOF02M,Unicare - Unicare,Unicare
KSZUZ1EXOF02N,Unicare - Unicare,Unicare
KSZUZ1EXOF03S,Unicare - Unicare,Unicare
KSZUZ1EXOF03Y,Unicare - Unicare,Unicare
