KEY_CHK_DCN_NBR,CURNT_QUE_UNIT_NBR,DTL_LINE_NBR,Result,Model_Score
19121ME3336,ST,08,3379568,0.09612626
19121ME3336,ST,09,3379568,0.12940538
19121ME3336,ST,10,3379568,0.14522187
19121ME3336,ST,11,3379568,0.06612054
19121MF2028,1#,01,4271371,0.1004102
19121MF3279,1#,01,4230054,0.44693914
19121MF3279,1#,02,4230054,0.4030165
19121MF3279,1#,03,4230054,0.36801988
19121MH2123,1#,01,4080057,0.59600365
19121MH2123,1#,02,4080057,0.007531015
19121MH2123,1#,03,4080057,0.047675315
19121MH4479,1#,01,0263406443,0.50595665
19121MH4479,1#,02,0263406443,0.50595665
19121MH4479,1#,03,0263406443,0.50595665
19122080539,ST,01,3758081,0.8089736
19122080539,ST,02,3758081,0.75455844
19122080539,ST,03,3758081,0.4123578
19122080539,ST,04,3758081,0.3883427
19122080539,ST,05,3758081,0.05132964
19122080539,ST,06,3758081,0.34421614
19122080539,ST,07,3758081,0.05017164
19122080539,ST,08,3758081,0.14669086
19122080539,ST,09,3758081,0.05017164
19122080539,ST,10,3758081,0.30693847
19122080539,ST,11,3758081,0.09430317
19122080539,ST,12,3758081,0.05132964
19122080539,ST,13,3758081,0.06370398
19122080539,ST,14,3758081,0.04606767
19122080539,ST,15,3758081,0.21439996
19122080539,ST,16,3758081,0.3119848
19122080539,ST,17,3758081,0.30303347
19122080539,ST,18,3758081,0.121542715
19122080539,ST,19,3758081,0.2504961
19122080539,ST,20,3758081,0.2504961
19122080539,ST,21,3758081,0.05132964
19122080539,ST,22,3758081,0.2504961
19122080539,ST,23,3758081,0.30303347
19122080539,ST,24,3758081,0.14716582
19122080539,ST,25,3758081,0.3523783
19122080539,ST,26,3758081,0.10026883
19122080539,ST,27,3758081,0.2504961
19122080539,ST,28,3758081,0.3119848
19122080539,ST,29,3758081,0.3119848
19122080539,ST,30,3758081,0.2504961
19122080539,ST,31,3758081,0.39841124
19122080539,ST,32,3758081,0.2504961
19122080539,ST,33,3758081,0.05132964
19122080539,ST,34,3758081,0.05132964
19122080539,ST,35,3758081,0.2504961
19122080539,ST,36,3758081,0.2998475
19122080539,ST,37,3758081,0.09430317
19122080539,ST,38,3758081,0.3119848
19122080539,ST,39,3758081,0.108203724
19122080539,ST,40,3758081,0.108203724
19122083685,1#,01,0259030782,0.0038081899
19122084483,1#,01,0259030782,0.004959303
19122479486,1#,01,4227528,0.3253495
19122485168,1#,01,0258528305,0.0005580527
19122485931,1#,01,0263953914,0.0049455212
19122486682,1#,01,4242261,0.08095012
19122486682,1#,02,4242625,0.08320769
19122488270,1#,01,3936282,0.2575276
19122489076,1#,01,3936282,0.2575276
19122489842,1#,01,0258528305,0.00078202196
19122871956,ST,01,4035149,0.12177227
19122871956,ST,02,4035149,0.3226382
19122871956,ST,03,4035149,0.3226382
19122871956,ST,04,4035149,0.48641533
19122875118,1#,01,0259030782,0.0038081899
19122875963,1#,01,0259030782,0.004959303
19122878340,1#,01,4227528,0.5124213
19122BF2574,1#,01,3415764,0.32704133
19122BF2574,1#,02,0263336713,0.11908743
19122BF2574,1#,03,4194343,0.07408585
19122BF2574,1#,04,4194343,0.07408585
19122BQ0671,1#,01,4222459,0.59400284
19122BQ0671,1#,02,4222459,0.59400284
19122BQ0671,1#,03,4222459,0.63312596
19122BQ0671,1#,04,4222459,0.59400284
19122BQ0671,1#,05,4222459,0.63312596
19122BQ0671,1#,06,4222459,0.59400284
19122BQ0671,1#,07,4222459,0.63312596
19122BQ0671,1#,08,4222459,0.59400284
19122BQ0671,1#,09,4222459,0.59400284
19122BQ0671,1#,10,4222459,0.59400284
19122BQ0671,1#,11,4222459,0.6479701
19122BQ0671,1#,12,4222459,0.59400284
19122BQ0671,1#,13,4222459,0.59400284
19122BQ0671,1#,14,4222459,0.59400284
19122CD7914,1#,01,4066642,0.12238433
19122CD7914,1#,02,4066642,0.12238433
19122CH6318,1#,01,4351369,0.45304665
19122CI8250,ST,01,0262122874,0.00079044054
19122CI8250,ST,02,0262122874,0.0009804192
19122CI8250,ST,03,0262122874,0.0033589513
19122CI8250,ST,04,0262122874,0.0030559201
19122CI8250,ST,05,0262122874,0.0030559201
19122CI8250,ST,06,0262122874,0.0030559201
19122CI8250,ST,07,0262122874,0.0030559201
19122CI8250,ST,08,0262122874,0.0030559201
19122CI8250,ST,09,0262122874,0.0030559201
19122CI8250,ST,10,0262122874,0.0030559201
19122CI8250,ST,11,0262122874,0.0030559201
19122CI8250,ST,12,0262122874,0.0030559201
19122CI8250,ST,13,0262122874,0.0030559201
19122CI8250,ST,14,0262122874,0.0030559201
19122CI8250,ST,15,0262122874,0.0030559201
19122CI8250,ST,16,0262122874,0.0030559201
19122CI8250,ST,17,0262122874,0.0030559201
19122CI8250,ST,18,0262122874,0.0030559201
19122CI8250,ST,19,0262122874,0.0030559201
19122CI8250,ST,20,0262122874,0.00077765837
19122CI8250,ST,21,0262122874,0.0030559201
19122CI8250,ST,22,0262122874,0.0030559201
19122CI8250,ST,23,0260390949,0.0010181798
19122CI8250,ST,24,0262122874,0.002159442
19122CI8250,ST,25,0262122874,0.002159442
19122CI8250,ST,26,0262122874,0.002159442
19122CI8250,ST,27,0262122874,0.00063348276
19122CI8250,ST,28,0262122874,0.002159442
19122CI8250,ST,29,0262122874,0.002159442
19122CI8250,ST,30,0262122874,0.002183691
19122CI8250,ST,31,0262122874,0.00071404706
19122CI8250,ST,32,0262122874,0.002183691
19122CI8250,ST,33,4389041,0.0007441502
19122CI8250,ST,34,0262122874,0.002183691
19122CK7649,ST,01,0262374104,0.06304017
19122CK7649,ST,02,0262374104,0.06304017
19122CK7649,ST,03,0262374104,0.06304017
19122CK7649,ST,04,0262374104,0.06304017
19122CK7649,ST,05,0263637694,0.41076845
19122CK7649,ST,06,0262374104,0.37920478
19122CK7649,ST,07,0263637694,0.41076845
19122CK7649,ST,08,0263637694,0.3772243
19122CN1681,ST,01,0263691397,0.6228628
19122CN1681,ST,02,0263691397,0.6228628
19122CN6978,1#,01,3626479,0.39654073
19122CY0692,ST,01,4251609,0.6227034
19122CY0693,ST,01,4251609,0.6800793
19122CY0694,ST,01,4251609,0.71954566
19122DB5675,1#,01,4097016,0.5790982
19122DB5675,1#,02,4097016,0.5594646
19122DB5675,1#,03,4097016,0.5594646
19122DI0098,1#,01,4426219,0.28694084
19122DI3355,ST,01,4392333,0.23605627
19122DJ2461,1#,01,0261697536,0.028161194
19122LM0471,ST,01,0263690317,0.51522493
19122LM0471,ST,02,0263690317,0.51522493
19122LM0471,ST,03,0263690317,0.51522493
19122LM0471,ST,04,0263690317,0.48358792
19122LM0566,1#,01,3683082,0.006389683
19122LM1038,1#,01,0254545395,0.5114839
19122LM1038,1#,02,0254545395,0.5114839
19122LM1038,1#,03,0254545395,0.15715268
19122LM1038,1#,04,0254545395,0.3050934
19122LM1038,1#,05,0254545395,0.3050934
19122LM1038,1#,06,0254545395,0.4372903
19122LM1076,1#,01,0254545395,0.73405635
19122LM1076,1#,02,0254545395,0.27335066
19122LM1076,1#,03,0254545395,0.21138664
19122LM1076,1#,04,0254545395,0.21138664
19122LM1076,1#,05,0254545395,0.21138664
19122LM1076,1#,06,0254545395,0.534955
19122LM1618,1#,01,0263384982,0.4633557
19122LM1618,1#,02,0263384982,0.46438572
19122LM1618,1#,03,0263384982,0.46438572
19122LM1618,1#,04,0263384982,0.46438572
19122MA1684,1#,01,4227528,0.36598802
19122MA4094,1#,01,0259030782,0.004959303
19122MA4885,1#,01,0259030782,0.004959303
19122MA6461,1#,01,4219366,0.6047738
19122MA6461,1#,02,4219366,0.15197742
19122MB4361,ST,01,4076066,0.0900117
19122MB6574,1#,01,3936282,0.21929958
19122MB7321,1#,01,3936282,0.24910468
19122MB7436,ST,01,0256817186,0.04586114
19122MB9004,ST,01,0257655655,0.018751012
19122MC2752,ST,01,3757756,0.90523696
19122MC6744,ST,01,0259769810,0.25738835
19122MD7569,ST,01,3898650,0.048685174
19122MD8276,1#,01,4227528,0.3682297
19122MD8338,ST,01,3898650,0.04658821
19122MF5861,1#,01,0262324677,0.0017400732
19122MF8938,1#,01,0263406443,0.5076984
19122MF8938,1#,02,0263406443,0.5076984
19122MF8938,1#,03,0263406443,0.5076984
19122MF8938,1#,04,0263406443,0.5076984
19122MG1531,1#,01,0263532379,0.5067529
19122MG1531,1#,02,0263532379,0.5067529
19122MG1531,1#,03,0263532379,0.5067529
19122MG1531,1#,04,0263532379,0.5067529
19122MG1531,1#,05,0263532379,0.418727
19122MG1565,ST,01,0252656980,0.003116506
19122MG4314,ST,01,0260028900,0.003103517
19122MG5726,ST,01,4115613,0.101382524
19122MG5726,ST,02,4115613,0.34406102
19123489120,ST,01,4069126,0.22085102
19123489120,ST,02,4069126,0.22085102
19123493982,1#,01,4261088,0.28686544
19123493982,1#,02,4261088,0.2003693
19123497322,ST,01,3898650,0.04658821
19123498039,ST,01,3898650,0.04658821
19123730325,ST,01,0250586099,0.4058759
19123730327,ST,01,0249757668,0.088881426
19123730327,ST,02,0249757668,0.07295563
19123730327,ST,03,0249757668,0.072399184
19123730327,ST,04,0249757668,0.059234675
19123871881,ST,01,0257483138,0.1219978
19123871881,ST,02,0257483138,0.23778878
19123871881,ST,03,0257483138,0.099972926
19123871881,ST,04,0257483138,0.099972926
19123871881,ST,05,0257483138,0.36274832
19123871881,ST,06,0257483138,0.36274832
19123871881,ST,07,0257483138,0.36274832
19123875630,1#,01,0263693330,0.0017784694
19123BE5171,1#,01,3400665,0.2606372
19123BF8963,1#,01,4403905,0.18944454
19123BF8963,1#,02,4403905,0.18944454
19123BF8963,1#,03,4403905,0.18944454
19123BF8963,1#,04,4403905,0.028227644
19123BF8963,1#,05,0261034003,0.030496974
19123BF8963,1#,06,0261034003,0.15817508
19123BF8963,1#,07,0261034003,0.05312739
19123BF8963,1#,08,0261034003,0.15817508
19123BJ1147,ST,01,0260684525,0.027974082
19123BJ1147,ST,02,0260684525,0.17189586
19123BP2772,1#,01,4393067,0.0747958
19123BV3944,ST,01,0262818807,0.3133917
19123BV3968,ST,01,0262818807,0.32192186
19123BV4102,ST,01,0262818807,0.30480692
19123BV4161,ST,01,0262818807,0.30443722
19123BV5095,1#,01,0257497219,3.3948167e-05
19123CP8450,1#,01,3823853,0.35785446
19123CP8450,1#,02,3823853,0.793397
19123CP9752,ST,01,0263249364,0.229237
